area_code,Airbnb Properties,Rental Properties
316600,17,12
316800,10,9
316900,14,15
317000,17,6
317400,6,15
317600,3,6
317800,19,18
317900,8,24
318000,11,21
318100,3,9
318300,38,33
318600,8,12
318700,17,6
318800,6,15
319000,3,18
319200,16,36
319300,13,21
319400,5,15
319500,14,27
319600,10,24
319700,12,30
319800,11,24
319900,12,42
320100,11,30
320200,18,99
320300,2,24
320600,17,39
320700,10,78
320800,13,24
320900,7,33
321000,13,48
321200,3,60
321400,15,27
321500,11,15
321600,1,6
321800,15,114
322000,6,30
322100,20,42
322200,26,39
322300,1,6
322400,21,24
322500,9,12
322600,18,15
322700,47,93
322800,2,9
322900,22,24
323000,79,75
323100,13,36
323200,30,27
323300,33,195
323400,14,21
323500,7,24
323600,5,12
323700,5,9
323800,36,63
323900,60,84
324100,6,9
324200,4,6
324300,10,18
324400,48,117
324600,4,18
324800,62,90
325000,12,21
325100,6,21
325200,30,33
325400,8,15
325700,142,54
325800,219,153
325900,24,33
326000,12,6
326100,43,87
326400,20,12
326500,10,24
326600,153,9
326800,32,78
326900,18,66
327000,397,144
327100,311,42
327200,22,21
327400,23,87
327500,5,9
327600,22,90
327700,7,21
327800,6,12
328100,25,12
328200,5,51
328300,6,21
328400,7,18
328500,15,51
328600,3,15
328700,12,30
328800,4,18
328900,38,90
329100,25,54
329200,8,57
329300,10,18
329400,23,51
329500,4,12
329600,19,42
329700,18,54
329800,3,9
329900,16,66
330000,19,9
330100,10,42
330200,54,48
330300,24,21
330500,8,24
330600,16,15
330800,10,27
330900,2,12
331000,4,12
331100,14,21
331200,22,12
331300,32,18
331400,15,15
331700,24,24
331900,15,9
332000,44,24
332100,35,27
332400,36,18
332700,79,27
